2136,1002,434409
2137,1002,434409
2138,1002,434409
2139,1002,434409
2140,1002,434409
2141,1003,434409
2142,1003,77869
2143,1003,145487
2144,1001,371746
2145,1001,145487
2146,1001,103776
2147,1001,145487
2148,1001,145487
2149,1001,371746
2150,1004,120338
2151,1004,2036416
2152,1005,434409
2153,1005,1229238
2154,1005,103776
2155,1005,5481184
2156,1005,2414370
2157,1005,77869
2158,1005,77869
2159,1005,5481184
2160,1005,5481184
2161,1005,5481184
2162,1005,5481184
2163,1005,5481184
2164,1005,4324274
2165,1005,4324274
2166,1005,103776
2167,1005,145487
2168,1005,499549
2169,1005,4600952
2170,1005,3672840
2171,1005,3540136
2172,1005,1229238
2173,1005,145487
2174,1005,145487
2175,1005,145487
2176,1005,77869
2177,1005,77869
2178,1005,77869
2179,1005,77869
2180,1005,77869
2181,1005,3672840
2182,1005,3672840
2183,1005,3672840
2184,1005,3672840
2185,1005,3672840
2186,1005,3672840
2187,1006,77869
2188,1006,77869
2189,1002,103776
2190,1002,103776
2191,1003,2414370
2192,1002,103776
2193,1003,77869
2194,1003,145487
2195,1003,145487
2196,1002,434409
2197,1002,103776
2198,1002,103776
2199,1002,103776
2200,1002,103776
2201,1002,103776
2202,1002,2414370
2203,1002,111161
2204,1002,1028532
2205,1002,4600952
2206,1008,103776
2207,1008,63350
2208,1008,2872732
2209,1008,434409
2210,1004,499549
2211,1008,145487
2212,1008,371746
2213,1003,77869
2214,1003,145487
2215,1003,2872732
2216,1003,2872732
2217,1003,133093
2218,1008,77869
2219,1008,120338
2220,1008,106332
2221,1001,113189
2222,1001,113189
2223,1001,77869
2224,1001,3540136
2225,1008,1028532
2226,1008,4324274
2227,1007,103776
2228,1007,434409
2229,1007,77869
2230,1007,145487
2231,1007,371746
2232,1007,499549
2233,1007,113189
2234,1007,4600952
2235,1007,5481184
2236,1007,4324274
2237,1007,3672840
2238,1007,3540136
2239,1007,1229238
2240,1007,105859
2241,1007,2186715
2242,1007,1298650
2243,1008,1859438
2244,1008,145487
2245,1008,145487
2246,1008,5481184
2247,1008,106332
2248,1008,120338
2249,1008,99487
2250,1008,2036416
